objid,t0,t1,t_raw,t_eff,ra,dec,racent,deccent,aper4,aper4_err,mag_bgsub_cheese,mag_bgsub,mag,distance,response,skybg,bg,bg_cheese,bg_eff_area,bg_sigmaclip,mag_bgsub_sigmaclip
6371091543165506516,864736591.995,864736670.995,80.0,60.0,293.365,62.0907,293.36497309489954,62.090728769398176,20.2618,0.32806,19.982441132204027,20.091452934124153,19.931936730649799,315.92029153696996,0.55914041484418753,0.000315719,2.944044252042191,0.97930898949245415,0.0015806814671161329,0.75092936802973864,19.970451475912462
6371091543165506495,864736591.995,864736670.995,80.0,73.0,293.763,62.0482,293.76316716201188,62.048085510848452,21.0931,0.414847,21.086241473991816,21.196479015453306,20.917497338785161,218.4862899348949,0.75671036156851201,0.000285784,2.3964757528872971,1.5223568940009755,0.00174707109058782,0.59975216852540181,20.980882497501973
6371091543131951995,864695171.995,864695241.995,71.0,50.0,293.646,62.0454,293.64700434781702,62.04504049649632,21.1526,0.452444,20.96818277719499,21.080503919489313,20.83568934524331,238.26919575616213,0.76941288757996451,0.000291401,1.5767539734303324,0.89729458692697783,0.0017352608584222532,0.38166047087980126,20.890082012299764
6372569316823400548,864695275.995,864695352.995,78.0,23.0,294.052,62.0977,294.05268073501333,62.098698079554232,-80.1829,-99.0,19.97967092878762,20.4392046367478,19.913067908104587,348.24964113002682,0.35725688745984208,0.000370555,3.2276667208594798,0.50005499237672735,0.00174707109058782,0.35439900867410112,19.959845523624175
6371091543165506560,864736591.995,864736670.995,80.0,69.0,294.031,62.1761,294.03137526173782,62.175990304865302,21.2713,0.467629,20.912714826912914,21.050663485871802,20.782534248835837,257.28435512598412,0.70710594552107087,0.000307984,2.4770366854733874,1.2790315752982584,0.00174707109058782,0.51629151581929733,20.833219491594235
6372569316824453539,864695275.995,864695352.995,78.0,44.0,294.011,62.1656,294.01139977718316,62.165844396184077,21.2793,0.674975,20.433966850009472,20.686544155387857,20.346553861981693,313.21619541762504,0.56396047557472151,0.000361813,2.8996678132511717,0.83429082566021107,0.00174707109058782,0.48103258303163793,20.396091762102223
6371091543130902534,864695171.995,864695241.995,71.0,2.0,294.014,62.1641,294.01573487719298,62.164426704849902,-80.1829,-99.0,19.785349599576893,20.991677071149223,18.621269191527393,253.32450187552939,0.83274432258943065,0.000312911,2.1311001429462868,1.5796849826590906,0.00174707109058782,0.60192035258932708,18.934514768518923
6371091543164456984,864736591.995,864736670.995,80.0,3.0,294.025,62.1634,294.02570586919398,62.163346072983998,-80.1829,-99.0,19.520434803040391,21.094161671801725,18.829270513814187,251.53115976139941,0.67240089831357874,0.000304381,2.6051279519569603,1.4007016704653292,0.00174707109058782,0.58932787659373442,19.06900670549863
6372569316856955103,864736704.995,864736781.995,78.0,46.0,294.026,62.1637,294.02524015841624,62.164037428372723,-80.1829,-99.0,23.246794274204888,23.102416135886585,21.529911188493809,318.12877084065576,1.0552763801953413,0.00034327,2.9005225330068614,3.0114432845191539,0.00174707109058782,0.92176924287737938,21.832350175156805
6372569316823400691,864695275.995,864695352.995,78.0,41.0,294.117,62.1601,294.11721599687633,62.160333218360869,-80.1829,-99.0,21.245260717055231,21.819676855821267,21.025593217746337,308.15133992899808,0.56296015144410416,0.000365734,2.789385722297498,0.98490655230173207,0.00174707109058782,0.46844010703604533,21.124556513976582
6371091543164456980,864736591.995,864736670.995,80.0,35.0,294.117,62.1597,294.11801057626599,62.160140076490649,-80.1829,-99.0,22.25849788956598,23.800808737433211,21.576872041445199,244.52140062685618,0.72420080087634331,0.000305017,2.406366230803314,1.2880258972880498,0.00174707109058782,0.5817723909963789,21.833612904702413
6371091543132999043,864695171.995,864695241.995,71.0,67.0,293.537,62.0884,293.53712382397674,62.088505730663599,17.2655,0.0701803,17.819486276855077,17.824407960762034,17.814871033994784,278.44461835926563,0.70497340593422742,0.000302103,1.4787832669833805,0.71725553221138749,0.00174707109058782,0.62701363073110195,17.818904527499775
6371091543166553667,864736591.995,864736670.995,80.0,76.0,293.536,62.0888,293.53673040624949,62.088351818179483,17.3265,0.0638598,17.327685797547769,17.331702641952482,17.322115293446839,278.49304111118158,0.76517024550588808,0.000295586,2.6547621109843842,1.5453399380544821,0.00174707109058782,1.2094175960346949,17.326472461092653
6371091543166553770,864736591.995,864736670.995,80.0,77.0,293.639,62.0623,293.6389909795443,62.062328423494144,19.3742,0.167148,19.321199412831042,19.342491896161729,19.287371616562613,247.21878467254956,0.81989061328992752,0.000288274,2.4782878762053095,1.5358311489342438,0.00174707109058782,0.68897149938042035,19.302416506037456
6371091543132999286,864695171.995,864695241.995,71.0,54.0,293.639,62.0623,293.63912589602768,62.062272337855759,19.8221,0.227747,20.292227073323886,20.337475951262235,20.23019632487226,247.80663104465327,0.74675628112668202,0.000295268,1.3862095645363413,0.81818374311461606,0.00174707109058782,0.39900867410161034,20.260004780691677
6371091543130902347,864695171.995,864695241.995,71.0,17.0,294.198,62.1152,294.19943072981425,62.115386896862802,-80.1829,-99.0,20.966487475969462,21.110234840258251,20.303036666971288,216.80954088214804,0.92221079327602606,0.000298606,2.2751328064911474,1.9831904053662186,0.00174707109058782,0.66418835192069303,20.483493312179661
6372569316856954972,864736704.995,864736781.995,78.0,62.0,294.199,62.1152,294.19792496573672,62.115260746342024,-80.1829,-99.0,22.801756617193004,22.859955098918292,21.746209439626632,334.23523746584516,0.95724720082950487,0.000327163,2.6859476630947801,2.6032889435539972,0.00174707109058782,0.98141263940520307,22.036194008493133
6371091543166553976,864736591.995,864736670.995,80.0,73.0,294.199,62.1147,294.19914876923724,62.115401314652566,20.9537,0.372468,21.225726703828116,21.410285344859901,21.036510531396473,215.86569063766029,0.73914726426873933,0.000299666,2.7605262125517149,1.5158589764092274,0.00174707109058782,0.65923172242874761,21.11478210113507
6371091543132999521,864695171.995,864695241.995,71.0,66.0,293.613,62.1192,293.61294965073921,62.11977103353378,20.4703,0.330687,21.393438207792215,21.586881864478364,21.262204411031007,277.48121107145397,0.7187548117430117,0.000302898,1.7991669895726969,0.79250338438639112,0.0017376058876900284,0.43866171003717419,21.332876785658382
6371091543166553986,864736591.995,864736670.995,80.0,73.0,293.612,62.1198,293.61285212713665,62.119235938252501,20.5071,0.292374,20.491465572875288,20.589662528358737,20.400591940933257,278.08291111859603,0.76428206817999944,0.000295427,2.7209479148788005,1.3669470153018162,0.001737649579426284,0.68401486988847493,20.445114263907936
6371091543130902397,864695171.995,864695241.995,71.0,31.0,293.993,62.1263,293.99422150172626,62.125885428033222,-80.1829,-99.0,21.440210346094652,21.690984525675109,20.915543872766353,231.90011171312267,0.88952317262453895,0.000306182,2.2965280799392351,1.7241985548553043,0.00174707109058782,0.57249070631970178,21.063307020405666
6372569316823400601,864695275.995,864695352.995,78.0,31.0,293.993,62.126,293.99364048738931,62.125912698099967,-80.1829,-99.0,20.356251426796401,20.859039261950432,20.271885912836563,337.35396212568565,0.36866564725954148,0.000369019,3.4000330380818458,0.60853297317764865,0.00174707109058782,0.43618339529120143,20.331684503395508
6371091543164456887,864736591.995,864736670.995,80.0,35.0,293.994,62.1259,293.99385285438564,62.125993717630422,-80.1829,-99.0,20.889887018065828,21.164632804912241,20.602195094200209,231.67762324543838,0.73882578307438407,0.000296964,2.740928478000586,1.5780644807053636,0.00174707109058782,0.65675340768277479,20.712825597412529
6372569316856955005,864736704.995,864736781.995,78.0,47.0,293.994,62.1261,293.99381704141803,62.1260841376115,-80.1829,-99.0,22.111422002969771,22.105782816406712,21.458300113195797,342.63192258034741,0.96744108501847437,0.000343005,1.8586672007270766,1.8704744715561195,0.00174707109058782,0.5551425030978927,21.614707400729003
6372569316856955123,864736704.995,864736781.995,78.0,50.0,294.103,62.1665,294.10211223136452,62.166207437532599,-80.1829,-99.0,23.001709201972208,23.045885285074078,21.605036246889863,311.43567933369002,1.0409423257849917,0.000341415,2.8254869001213572,2.7831280707102346,0.00174707109058782,0.86636234849677196,21.88218990470882
6371091543164456988,864736591.995,864736670.995,80.0,28.0,294.096,62.1685,294.09735165140449,62.168830527122594,-80.1829,-99.0,20.84892737418334,21.201372219078824,20.562654964269726,249.35585641174228,0.71150950855830608,0.00030703,2.5013898012620315,1.3036290141163041,0.00174707109058782,0.55658743900519358,20.675788655154527
6371091543131952061,864695171.995,864695241.995,71.0,66.0,294.098,62.1693,294.09791318565613,62.169458105529571,20.7856,0.368085,20.789814611313883,20.842515602299628,20.621326913574261,251.0752292334447,0.87679245621091295,0.000312169,2.3150735048872044,1.8054904379090746,0.00174707109058782,0.61703132378403813,20.676017239773429
6372569316856955132,864736704.995,864736781.995,78.0,51.0,294.095,62.1695,294.09482718361733,62.169695474010233,-80.1829,-99.0,24.984724668489463,25.100539688574727,21.905266153338349,308.59632939076374,1.0085388152348009,0.000342051,2.8180377251335349,2.8003869512669923,0.00174707109058782,0.85376987250117931,22.272537512567059
6372569316823400568,864695275.995,864695352.995,78.0,38.0,294.004,62.1072,294.00449494099598,62.105941153890655,-80.1829,-99.0,20.953587266606636,21.871481640262438,20.861837387117522,348.60419933537162,0.34685315763136959,0.000371085,3.5083320679538805,0.46957942792170937,0.00174707109058782,0.41140024783147405,20.941789993445301
