ix,skypos,band,theCount
2464,52.400963217_65.4956259661,FUV,7584
2474,43.0045381201_69.7542523537,FUV,8251
2484,184.42536922_86.769054643,FUV,7557
2494,163.027259983_74.4304725225,FUV,8182
2513,81.8315050625_60.5434149849,FUV,10260
2504,186.21633546_81.5261850255,FUV,8477
2509,331.27434515_66.5294408735,FUV,11471
2472,89.946244881_66.7356986591,FUV,7774
2495,226.191253508_77.2069515814,FUV,28967
2482,156.093237818_69.0995368936,FUV,8303
2492,117.356332237_69.5193200083,FUV,7895
2523,86.5280249457_80.5374679728,FUV,18832
2514,113.175581801_63.9595832911,FUV,20054
2519,293.886544258_68.3302450526,FUV,7574
2505,153.530923861_86.7993331453,FUV,25986
2502,112.119917088_79.2326733749,FUV,7992
2515,218.55389831_87.1885620919,FUV,8558
2524,206.718871983_68.6956337832,FUV,53930
2525,125.635534999_84.2314072992,FUV,8107
2512,81.8315050625_60.5434149849,FUV,10094
2437,275.836097187_64.7622441372,FUV,108444
2522,86.5280249457_80.5374679728,FUV,8029
2533,239.076919928_55.6760369552,FUV,117267
2447,142.146172966_56.6463503479,FUV,8549
2529,239.076919928_55.6760369552,FUV,118530
2457,193.905821727_66.6309195112,FUV,8911
2535,239.076919928_55.6760369552,FUV,101040
2534,239.076919928_55.6760369552,FUV,112511
2467,224.098524828_66.7925427479,FUV,13872
2532,239.076919928_55.6760369552,FUV,117283
2543,239.076919928_55.6760369552,FUV,98424
2477,294.872104308_53.1234114576,FUV,7324
2539,239.076919928_55.6760369552,FUV,96427
2487,11.1416422576_87.5630597017,FUV,8582
2549,179.01003361_84.3059853348,FUV,8643
2553,33.6877544943_83.0631548786,FUV,8731
2497,104.434866607_74.9683936972,FUV,8403
2544,239.076919928_55.6760369552,FUV,96228
2559,240.743797274_63.7469560293,FUV,7540
2563,127.082190795_88.2865873098,FUV,10745
2545,239.076919928_55.6760369552,FUV,109858
2569,164.665769792_78.9073166445,FUV,8827
2554,33.6877544943_83.0631548786,FUV,8497
2542,239.076919928_55.6760369552,FUV,92190
2573,115.183021708_60.3295382415,FUV,8361
2552,213.974144579_61.6307812764,FUV,8235
2555,351.126012337_71.7314289076,FUV,7860
2507,89.0625731769_69.6361251871,FUV,39648
2579,231.969990513_65.3449233407,FUV,8212
2565,177.145848538_67.7041821832,FUV,8331
2583,98.6831190601_81.2258747154,FUV,18537
2517,148.8911094_89.2075927412,FUV,10515
2575,181.626901092_70.4961312473,FUV,7838
2593,153.985438561_88.7462244893,FUV,10515
2589,70.2134949631_80.5854705583,FUV,8775
2527,82.3729215457_83.2998750315,FUV,14417
2603,242.843048555_64.6131235518,FUV,8504
2564,177.145848538_67.7041821832,FUV,128258
2585,98.6831190601_81.2258747154,FUV,18491
2613,109.626475651_79.916562918,FUV,8005
2574,112.500496257_59.2510596615,FUV,8885
2599,77.0803692554_64.1326233952,FUV,10116
2562,171.677640068_64.4476993799,FUV,103325
2595,111.111101147_65.5703484852,FUV,8338
2584,98.6831190601_81.2258747154,FUV,10006
2537,239.076919928_55.6760369552,FUV,52572
2572,272.980173772_78.9800038401,FUV,7846
2623,67.9482240758_54.9638210396,FUV,8511
2609,109.626475651_79.916562918,FUV,18864
2594,290.77142728_87.0890157433,FUV,7842
2582,208.259848724_61.8161345893,FUV,8234
2605,330.240082709_67.0809523214,FUV,11471
2633,300.697776896_72.7659422971,FUV,8946
2604,28.9906297662_76.7828122431,FUV,11119
2619,72.9367650791_74.4136650654,FUV,8500
2592,104.256988627_61.9806074527,FUV,8875
2602,135.749735715_67.1942787181,FUV,8128
2547,239.076919928_55.6760369552,FUV,88261
2615,300.547457147_64.9892282349,FUV,8232
2643,74.3234612002_56.7410699399,FUV,8003
2629,214.965829061_69.4153084082,FUV,8221
2614,300.547457147_64.9892282349,FUV,8233
2625,231.802431952_57.1829000828,FUV,7553
2653,38.903518331_77.9693612387,FUV,8343
2557,350.203533096_87.4002721131,FUV,22406
2635,133.255503919_87.5204550189,FUV,11342
2639,47.5780110995_69.6438533819,FUV,8298
2624,67.9482240758_54.9638210396,FUV,7998
2567,168.706203389_71.324700011,FUV,7582
2663,266.427915537_60.4072647203,FUV,8094
2649,94.1578386599_61.4342534131,FUV,7795
2577,186.869635996_85.3905896994,FUV,7668
2673,309.685319072_86.5284149917,FUV,7628
2634,108.029176533_63.9157697144,FUV,18887
2612,109.626475651_79.916562918,FUV,128118
2683,186.007961852_57.4010738211,FUV,8333
2587,201.790796593_78.884707273,FUV,8594
2645,27.4279712516_74.8070468452,FUV,20185
2622,262.55481097_84.7377243421,FUV,7862
2659,68.2581412146_56.8994249733,FUV,8337
2655,38.370195644_73.3701813101,FUV,7478
2597,268.010335108_83.1912432972,FUV,8168
2693,1.12062881707_83.2001740694,FUV,7422
2644,27.4279712516_74.8070468452,FUV,21502
2566,262.832835992_53.1322170382,FUV,7792
2576,277.253984272_87.7418487069,FUV,10054
2586,201.790796593_78.884707273,FUV,8979
2596,263.968224382_88.7920721801,FUV,9231
2606,199.398459979_86.1465924791,FUV,8480
2616,156.710144747_86.2518748189,FUV,11832
