objid,t0,t1,t_raw,t_eff,ra,dec,racent,deccent,aper4,aper4_err,mag_bgsub_cheese,mag_bgsub,mag,distance,response,skybg,bg,bg_cheese,bg_eff_area
6384919063640936029,840787412.995,840787492.995,80.0,76.237590464410488,23.3082,-72.0885,23.308430826570266,-72.088519286172058,18.2855,0.10204,18.258560305048917,18.264605050444743,18.243745282136825,107.46481286040785,0.8568628523166788,0.000243664,2.4665557445918349,1.7566669113300104,0.0016471986265007427
6384919063674490421,844425942.995,844426003.995,62.0,56.867917756692563,23.3087,-72.0884,23.308797950669337,-72.088528334833342,18.4748,0.120004,18.431008037625617,18.437876277142241,18.41608578418743,111.07154198155514,0.90985422892296319,0.000251187,1.6391735530920872,1.1260614014959627,0.001648243522857854
6384919063638839009,840787412.995,840787492.995,80.0,76.237590464410488,23.3371,-72.0714,23.336410364420001,-72.072142318180013,-80.1829,-99.0,22.07943559994467,22.534653107672934,21.645404563665846,116.43693546761973,0.88519127591003133,0.000242975,3.1588426139668373,1.8615964344005407,0.0016752228663115369
6384919063674490527,844425942.995,844426003.995,62.0,56.848880415331031,23.3423,-72.0707,23.338217832866665,-72.07153715923333,21.4495,0.579098,22.385510940055664,22.945162687433701,21.855524585102124,120.96955605333721,0.86430511647701602,0.000249333,2.1989621165692772,1.3407827148448415,0.0016557442928566324
6384919063638839024,840787412.995,840787492.995,80.0,76.266565959500923,23.9816,-72.0667,23.982138737033335,-72.066854987766661,-80.1829,-99.0,22.671561147811911,23.199504391090063,22.090806204545341,162.09520890452018,0.8010156159420877,0.000241174,2.3992134341572977,1.5534397386274714,0.0017306723217306033
6384919063640936155,840787412.995,840787492.995,80.0,76.26625133804896,23.859,-72.0665,23.8580020843381,-72.066811228676187,20.1283,0.251531,20.056415496722153,20.087573661011564,19.991620201235381,147.2913283375911,0.81036204023288794,0.000242445,2.1926598841928997,1.5017888025553618,0.00174707109058782
6384919063674490525,844425942.995,844426003.995,62.0,56.853421664420068,23.8588,-72.0664,23.8582890578,-72.067014457515384,20.3603,0.330964,20.26086911287797,20.302313682828078,20.185327999361881,158.55344194246996,0.80605486910230062,0.000249651,1.651378894656844,1.0865853394156781,0.00174707109058782
6384919063672393449,844425942.995,844426003.995,62.0,56.843574178059711,24.0883,-72.0537,24.085535046299999,-72.053286722600006,-80.1829,-99.0,23.856023158780488,nan,22.842938095827783,194.15000860121867,0.71530928252607973,0.000248485,1.5332726367756164,0.84811137191764463,0.00174707109058782
6384919063638839104,840787412.995,840787492.995,80.0,76.237552069646256,24.0748,-72.0533,24.074862081100001,-72.053794395449998,-80.1829,-99.0,22.079072345044402,22.369233076979814,21.747929769155732,179.2920559900094,0.77927034650181692,0.000241756,2.2398824417783794,1.3512670682393997,0.0017310315708190583
6384919063640936046,840787412.995,840787492.995,80.0,76.237590464410488,23.331,-72.0789,23.329711436525002,-72.078459389456242,20.3472,0.274035,20.453032143107432,20.542951695959417,20.337855390315401,112.0274233106523,0.85001137709523722,0.000243399,3.2425507645609133,1.8959888627936601,0.0017112404972124352
