tilename,tilenum,img,subvis,avaspra,avaspdec,fexptime,nexptime,minPhotoObsDate,maxPhotoObsdate,minmjd,maxmjd
AIS_13,50013,1,10,283.898176722573,45.4894163523505,144,144,2006-07-17 10:05:51.000,2006-07-17 10:08:15.000,53933.4207291667,53933.4223958333
MISKEP_10698_0014,40486,7,-999,283.919575825596,45.4822907744848,0,1280.05,2011-07-30 13:55:05.000,2011-07-30 15:44:58.000,55772.5799189815,55772.6562268518
KEPLER_10747_0014_css33669,52400,1,-999,283.987668608226,44.5521091849228,0,700.6,2009-08-20 05:22:11.000,2009-08-20 05:33:51.000,55063.2237384259,55063.2318402778
KEPLER_10747_0014_css33453,52399,1,-999,283.990062204095,44.5629139453605,0,1094.55,2009-08-05 10:20:35.000,2009-08-05 10:38:49.000,55048.4309606481,55048.4436226852
MISKEP_10747_0014,40490,7,-999,284.00414524602,44.5633230222804,0,538.5,2011-07-31 01:26:08.000,2011-07-31 01:35:06.000,55773.0598148148,55773.0660416667
AIS_13,50013,1,13,284.017530452524,44.5560773500283,144,144,2006-07-17 10:02:55.000,2006-07-17 10:05:19.000,53933.4186921296,53933.4203587963
GI4_056005_KEPLER_13,24103,7,-999,284.047708930932,41.9019527336058,5552.05,5552.05,2008-05-22 17:15:31.000,2008-08-17 01:46:59.000,54608.7191087963,54695.0742939815
AIS_13,50013,1,18,284.074001331968,43.6114600943696,0,128,2011-06-09 20:35:31.000,2011-06-09 20:37:39.000,55721.8579976852,55721.8594791667
MISKEP_10797_0014,40493,7,-999,284.081623046822,43.6275424863969,0,666.45,2011-07-31 12:55:35.000,2011-07-31 13:06:41.000,55773.538599537,55773.5463078704
MISKEP_10848_0014,40496,7,-999,284.134110907009,42.7166581517465,0,514.5,2011-07-31 16:13:16.000,2011-07-31 16:21:50.000,55773.6758796296,55773.6818287037
AIS_13,50013,1,24,284.17832637086,42.7057869406573,0,128,2011-06-09 20:38:15.000,2011-06-09 20:40:23.000,55721.8598958333,55721.8613773148
MISKEP_10900_0014,40497,7,-999,284.216025103909,41.771259627866,0,1169.6,2011-07-06 03:19:58.000,2011-07-22 18:49:56.000,55748.1388657407,55764.7846759259
AIS_13,50013,1,32,284.239091101294,41.7678102000316,0,122.05,2011-06-09 20:40:57.000,2011-06-09 20:42:59.000,55721.8617708333,55721.8631828704
AIS_5,50005,1,81,284.560235241626,55.0934283980812,0,109,2011-09-10 04:48:45.000,2011-09-10 04:50:34.000,55814.2005208333,55814.2017824074
AIS_5,50005,1,86,284.655941090459,54.1998848891537,0,94,2011-09-10 04:51:20.000,2011-09-10 04:52:54.000,55814.2023148148,55814.2034027778
AIS_5,50005,1,91,284.736138186049,53.3232502905635,0,88.25,2011-09-10 04:53:33.000,2011-09-10 04:55:01.000,55814.2038541667,55814.2048726852
AIS_5,50005,1,94,284.804565794573,52.404516560269,0,93,2011-09-10 04:56:05.000,2011-09-10 04:57:38.000,55814.2056134259,55814.2066898148
GI5_055008_KEPLER_07B,25137,7,-999,284.992405730669,46.0349154617062,675.45,4539.7,2009-05-12 02:57:25.000,2011-07-24 23:25:50.000,54963.1232060185,55766.9762731481
AIS_9,50009,1,91,285.035628626107,48.8075093825946,176,176,2006-09-04 07:30:24.000,2007-07-17 12:59:03.000,53982.3127777778,54298.5410069444
MISKEP_10511_0010,40474,7,-999,285.049219291438,48.8376184428172,0,2013.3,2011-06-15 07:57:56.000,2011-07-27 08:50:55.000,55727.3318981482,55769.3686921296
AIS_9,50009,1,93,285.078717382281,47.9241853763205,170,170,2006-09-04 07:32:56.000,2007-07-17 13:00:38.000,53982.314537037,54298.5421064815
