#partition,minZoneID,maxZoneID,minZone,maxZone,partitionHeightInZones,DB
517,11281,11289,11281,11289,8,6
518,11290,11299,11290,11299,9,6
519,11300,11307,11300,11307,7,6
520,11308,11316,11308,11316,8,6
521,11317,11326,11317,11326,9,6
522,11327,11335,11327,11335,8,6
523,11336,11345,11336,11345,9,6
524,11346,11355,11346,11355,9,6
525,11356,11364,11356,11364,8,6
526,11365,11374,11365,11374,9,6
527,11375,11383,11375,11383,8,6
528,11384,11392,11384,11392,8,6
529,11393,11402,11393,11402,9,6
530,11403,11411,11403,11411,8,6
531,11412,11422,11412,11422,10,6
532,11423,11433,11423,11433,10,6
533,11434,11444,11434,11444,10,6
534,11445,11456,11445,11456,11,6
535,11457,11468,11457,11468,11,6
536,11469,11480,11469,11480,11,6
537,11481,11491,11481,11491,10,6
538,11492,11503,11492,11503,11,6
539,11504,11516,11504,11516,12,6
540,11517,11529,11517,11529,12,6
541,11530,11543,11530,11543,13,6
542,11544,11558,11544,11558,14,6
543,11559,11572,11559,11572,13,6
544,11573,11585,11573,11585,12,6
545,11586,11597,11586,11597,11,6
546,11598,11610,11598,11610,12,6
547,11611,11623,11611,11623,12,6
548,11624,11636,11624,11636,12,6
549,11637,11649,11637,11649,12,6
550,11650,11662,11650,11662,12,6
551,11663,11675,11663,11675,12,6
552,11676,11688,11676,11688,12,6
553,11689,11701,11689,11701,12,6
554,11702,11716,11702,11716,14,6
555,11717,11731,11717,11731,14,6
556,11732,11747,11732,11747,15,6
557,11748,11763,11748,11763,15,6
558,11764,11778,11764,11778,14,6
559,11779,11793,11779,11793,14,6
560,11794,11810,11794,11810,16,6
561,11811,11827,11811,11827,16,6
562,11828,11844,11828,11844,16,6
563,11845,11861,11845,11861,16,6
564,11862,11877,11862,11877,15,6
565,11878,11894,11878,11894,16,6
566,11895,11911,11895,11911,16,6
567,11912,11928,11912,11928,16,6
568,11929,11945,11929,11945,16,6
569,11946,11961,11946,11961,15,6
570,11962,11978,11962,11978,16,6
571,11979,11996,11979,11996,17,6
572,11997,12015,11997,12015,18,6
573,12016,12034,12016,12034,18,6
574,12035,12052,12035,12052,17,6
575,12053,12071,12053,12071,18,6
576,12072,12091,12072,12091,19,6
577,12092,12111,12092,12111,19,7
578,12112,12127,12112,12127,15,7
579,12128,12139,12128,12139,11,7
580,12140,12150,12140,12150,10,7
581,12151,12161,12151,12161,10,7
582,12162,12171,12162,12171,9,7
583,12172,12181,12172,12181,9,7
584,12182,12191,12182,12191,9,7
585,12192,12202,12192,12202,10,7
586,12203,12212,12203,12212,9,7
587,12213,12221,12213,12221,8,7
588,12222,12230,12222,12230,8,7
589,12231,12238,12231,12238,7,7
590,12239,12246,12239,12246,7,7
591,12247,12254,12247,12254,7,7
592,12255,12262,12255,12262,7,7
593,12263,12272,12263,12272,9,7
594,12273,12281,12273,12281,8,7
595,12282,12291,12282,12291,9,7
596,12292,12300,12292,12300,8,7
597,12301,12310,12301,12310,9,7
598,12311,12318,12311,12318,7,7
599,12319,12326,12319,12326,7,7
600,12327,12334,12327,12334,7,7
601,12335,12342,12335,12342,7,7
602,12343,12349,12343,12349,6,7
603,12350,12357,12350,12357,7,7
604,12358,12365,12358,12365,7,7
605,12366,12374,12366,12374,8,7
606,12375,12384,12375,12384,9,7
