ix,skypos,band,t0,t1,stim1_x0,stim1_x1,stim1_y0,stim1_y1,stim2_x0,stim2_x1,stim2_y0,stim2_y1,stim3_x0,stim3_x1,stim3_y0,stim3_y1,stim4_x0,stim4_x1,stim4_y0,stim4_y1
1763,176.79958607_60.4250047135,NUV,855341001995,855341109995,-40902.9566054,-38284.6717091,34381.2426431,36999.5275393,34598.6815899,37216.9664861,34379.6427578,36997.9276541,-40897.1388409,-38278.8539446,-38627.3380359,-36009.0531396,34613.3714451,37231.6563414,-38656.7177464,-36038.4328502
1764,176.79958607_60.4250047135,NUV,948357065995,948358768995,-40902.9566054,-38284.6717091,34381.2426431,36999.5275393,34598.6815899,37216.9664861,34379.6427578,36997.9276541,-40897.1388409,-38278.8539446,-38627.3380359,-36009.0531396,34613.3714451,37231.6563414,-38656.7177464,-36038.4328502
1765,31.7425252472_78.7466143235,NUV,819876209995,819876318995,-40902.9566054,-38284.6717091,34381.2426431,36999.5275393,34598.6815899,37216.9664861,34379.6427578,36997.9276541,-40897.1388409,-38278.8539446,-38627.3380359,-36009.0531396,34613.3714451,37231.6563414,-38656.7177464,-36038.4328502
1766,31.7425252472_78.7466143235,NUV,824396667995,824396774995,-40902.9566054,-38284.6717091,34381.2426431,36999.5275393,34598.6815899,37216.9664861,34379.6427578,36997.9276541,-40897.1388409,-38278.8539446,-38627.3380359,-36009.0531396,34613.3714451,37231.6563414,-38656.7177464,-36038.4328502
1767,84.627949207_53.8872260393,NUV,757660282995,757660406995,-40902.9566054,-38284.6717091,34381.2426431,36999.5275393,34598.6815899,37216.9664861,34379.6427578,36997.9276541,-40897.1388409,-38278.8539446,-38627.3380359,-36009.0531396,34613.3714451,37231.6563414,-38656.7177464,-36038.4328502
1768,84.627949207_53.8872260393,NUV,788433313995,788433457995,-40902.9566054,-38284.6717091,34381.2426431,36999.5275393,34598.6815899,37216.9664861,34379.6427578,36997.9276541,-40897.1388409,-38278.8539446,-38627.3380359,-36009.0531396,34613.3714451,37231.6563414,-38656.7177464,-36038.4328502
1769,84.627949207_53.8872260393,NUV,788462893995,788463036995,-40902.9566054,-38284.6717091,34381.2426431,36999.5275393,34598.6815899,37216.9664861,34379.6427578,36997.9276541,-40897.1388409,-38278.8539446,-38627.3380359,-36009.0531396,34613.3714451,37231.6563414,-38656.7177464,-36038.4328502
1770,84.627949207_53.8872260393,NUV,816870723995,816870869995,-40902.9566054,-38284.6717091,34381.2426431,36999.5275393,34598.6815899,37216.9664861,34379.6427578,36997.9276541,-40897.1388409,-38278.8539446,-38627.3380359,-36009.0531396,34613.3714451,37231.6563414,-38656.7177464,-36038.4328502
1771,84.627949207_53.8872260393,NUV,1010044744995,1010045294995,-40906.7381523,-38288.453256,34469.3817747,39705.9515672,34619.770986,37238.0558823,34471.4179922,39707.9877848,-40898.7387261,-38280.4538298,-39540.2907242,-34303.7209316,34631.406515,37249.6914112,-39541.0179447,-34304.4481522
1772,71.4929410994_86.767157644,NUV,820113303995,820113412995,-40902.9566054,-38284.6717091,34381.2426431,36999.5275393,34598.6815899,37216.9664861,34379.6427578,36997.9276541,-40897.1388409,-38278.8539446,-38627.3380359,-36009.0531396,34613.3714451,37231.6563414,-38656.7177464,-36038.4328502
