,ix,skypos,band,theCount,t0,t1,globalcount,stimcount,exptime,deadtime
1141,3163,54.3530639807_62.4000978302,FUV,7590,842703550.995,842703655.995,1006231.0,7590.0,104.0,0.0547608707483
1142,3035,170.320303039_84.2335848214,FUV,19586,816155692.995,816155953.995,805338.0,19586.0,222.998999953,0.0176319211823
1143,3045,221.016240858_79.2007596789,FUV,8207,846726516.995,846726625.995,257694.0,8207.0,108.0,0.0135095150721
1144,3059,156.454190427_68.0072209836,FUV,128545,882460443.995,882462147.995,3657269.0,128545.0,1697.995,0.0122644835681
1145,3069,91.2380552999_88.884967966,FUV,10263,851003823.995,851003959.995,361980.0,10263.0,89.75,0.0152092436975
1146,3079,151.799736546_62.1092671334,FUV,8442,766839647.995,766839759.995,238977.0,8442.0,111.0,0.0121927040816
1147,3055,156.454190427_68.0072209836,FUV,109348,882424952.995,882426402.995,3102055.0,109348.0,1445.995,0.0122248472906
1148,3173,220.869323881_64.4454175457,FUV,127550,825290099.995,825291789.995,3549196.0,127550.0,1681.99000001,0.0120006627219
1149,3089,101.570201426_74.0133612967,FUV,9287,854886295.995,854886419.995,407242.0,9287.0,124.0,0.0187669124424
1150,3065,252.496906068_84.0892030801,FUV,8338,851122522.995,851122633.995,360800.0,8338.0,111.0,0.018574002574
1151,3099,216.786115401_62.7146044207,FUV,8143,856097853.995,856097961.995,219479.0,8143.0,98.7150000334,0.0116126455026
1152,3075,106.22828709_79.5384136897,FUV,8160,847318405.995,847318513.995,235721.0,8160.0,107.0,0.012472010582
1153,3085,175.230268135_61.3498492544,FUV,8090,855341423.995,855341530.995,238292.0,8090.0,107.0,0.0127258744993
1154,3109,69.3201675438_87.1779311365,FUV,8164,820113303.995,820113412.995,345714.0,8164.0,108.0,0.018123931848
1155,3183,153.959435891_53.7998828912,FUV,126590,793421002.995,793422674.995,2406312.0,126590.0,1526.40500021,0.0082238961039
1156,3095,81.7204194773_63.8966362593,FUV,7749,855175346.995,855175450.995,481115.0,7749.0,103.0,0.0264348901099
1157,3193,71.4929410994_86.767157644,FUV,8164,820113303.995,820113412.995,345714.0,8164.0,108.0,0.018123931848
1158,3105,270.114186447_81.0354171822,FUV,9837,846662425.995,846662557.995,588750.0,9837.0,132.0,0.025487012987
1159,3203,311.287012115_77.2618236699,FUV,14765,903795085.995,903795283.995,840965.0,14765.0,197.0,0.0242702741703
1160,3115,118.172197314_65.3760438459,FUV,7620,851140993.995,851141094.995,241558.0,7620.0,87.9900000095,0.0136666478076
1161,3119,211.812239842_53.9257703409,FUV,100765,926179579.995,926180912.995,2423806.0,100765.0,1327.08000004,0.0103903375844
1162,3125,212.33651332_88.1099659764,FUV,12808,886194513.995,886194684.995,571347.0,12808.0,122.970000029,0.0190926315789
1163,3129,109.204441815_88.993371247,FUV,10263,851003823.995,851003959.995,361980.0,10263.0,89.75,0.0152092436975
1164,3213,240.162763932_55.7551373794,FUV,122937,891299319.995,891300947.995,2984507.0,122937.0,1628.0,0.0104756300456
1165,3135,209.530791484_62.3078660844,FUV,128775,886986368.995,886988073.995,3179400.0,128775.0,1343.10000002,0.0106557184751
1166,3223,305.203695737_70.6053929507,FUV,16896,872623048.995,872623275.995,1084144.0,16896.0,189.995000005,0.0272912271869
1167,3139,209.530791484_62.3078660844,FUV,126891,887015969.995,887017649.995,3132382.0,126891.0,1282.17999995,0.0106543605442
1168,3233,62.0206925318_66.1745281825,FUV,8532,819900757.995,819900872.995,534316.0,8532.0,115.0,0.026549863354
1169,3149,95.0895519158_82.7168825115,FUV,14297,908379739.995,908379929.995,519668.0,14297.0,189.0,0.015629112782
1170,3243,151.197678724_81.155546593,FUV,8670,816166641.995,816166756.995,242235.0,8670.0,114.28700006,0.0120365217391
1171,3159,160.442264305_72.7214855745,FUV,8797,754937245.995,754937362.995,333128.0,8797.0,117.0,0.01626998779
1172,3145,211.633742267_55.0872127094,FUV,127133,891600990.995,891602671.995,2774121.0,127133.0,1681.0,0.00943017251636
1173,3155,290.218738663_86.5726258476,FUV,7842,820195842.995,820195947.995,386700.0,7842.0,88.1599999666,0.0210448979592
1174,3165,273.88888427_84.674275275,FUV,18766,846601847.995,846602098.995,959883.0,18766.0,203.995000005,0.0218527717701
1175,3169,220.869323881_64.4454175457,FUV,120945,825088947.995,825090617.995,3403541.0,120945.0,1552.43500006,0.0116459914457
1176,3253,67.5251613422_85.2829461133,FUV,123746,908266136.995,908267786.995,5456705.0,123746.0,1424.84500015,0.0188976796537
